Threshold,AUC (%),Accuracy (%),Recall (%)
30%,65.32091097308488,13.40782122905028,100.0
35%,65.32091097308488,15.64245810055866,100.0
40%,65.32091097308488,22.905027932960895,100.0
42%,65.32091097308488,29.05027932960894,100.0
45%,65.32091097308488,32.960893854748605,88.88888888888889
50%,65.32091097308488,55.3072625698324,77.77777777777779
52%,65.32091097308488,67.0391061452514,61.111111111111114
55%,65.32091097308488,77.09497206703911,22.22222222222222
60%,65.32091097308488,87.15083798882681,5.555555555555555
65%,65.32091097308488,88.8268156424581,0.0
